Location,Timestamp,Current_Speed,Free_Flow_Speed,Confidence,Congestion_Level,Road_Closure,Temperature,Humidity,Wind_Speed,Rainfall,Hour,Month,Day_of_Week,Is_Weekend,Is_Rush_Hour
District_1,2025-09-20 21:53:00+07:00,15,25,1,166.66666666666669,False,30.53,72,3.09,0,21,9,5,1,0
Thu_Thiem,2025-09-20 21:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,21,9,5,1,0
Tan_Son_Nhat,2025-09-20 21:53:00+07:00,31,31,1,100.0,False,32.01,62,2.24,0,21,9,5,1,0
Binh_Thanh,2025-09-20 21:53:00+07:00,22,33,1,150.253807106599,False,31.16,71,2.24,0,21,9,5,1,0
Phu_My_Hung,2025-09-20 21:53:00+07:00,36,42,1,116.62844036697248,False,31.17,71,2.24,0,21,9,5,1,0
District_1,2025-09-20 22:53:00+07:00,15,25,1,166.66666666666669,False,30.53,72,3.09,0,22,9,5,1,0
Thu_Thiem,2025-09-20 22:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,22,9,5,1,0
Tan_Son_Nhat,2025-09-20 22:53:00+07:00,31,31,1,100.0,False,32.01,62,2.24,0,22,9,5,1,0
Binh_Thanh,2025-09-20 22:53:00+07:00,22,33,1,150.253807106599,False,31.16,71,2.24,0,22,9,5,1,0
Phu_My_Hung,2025-09-20 22:53:00+07:00,37,41,1,110.8622620380739,False,31.17,71,2.24,0,22,9,5,1,0
District_1,2025-09-20 23:53:00+07:00,13,25,1,190.9090909090909,False,30.53,72,3.09,0,23,9,5,1,0
Thu_Thiem,2025-09-20 23:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,23,9,5,1,0
Tan_Son_Nhat,2025-09-20 23:53:00+07:00,31,31,1,100.0,False,32.01,62,2.24,0,23,9,5,1,0
Binh_Thanh,2025-09-20 23:53:00+07:00,20,32,1,160.59113300492612,False,31.16,71,2.24,0,23,9,5,1,0
Phu_My_Hung,2025-09-20 23:53:00+07:00,37,41,1,110.8622620380739,False,31.17,71,2.24,0,23,9,5,1,0
District_1,2025-09-21 00:53:00+07:00,13,26,1,203.2258064516129,False,30.53,72,3.09,0,0,9,6,1,0
Thu_Thiem,2025-09-21 00:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,0,9,6,1,0
Tan_Son_Nhat,2025-09-21 00:53:00+07:00,31,31,1,100.0,False,32.01,62,2.24,0,0,9,6,1,0
Binh_Thanh,2025-09-21 00:53:00+07:00,22,33,1,150.253807106599,False,31.16,71,2.24,0,0,9,6,1,0
Phu_My_Hung,2025-09-21 00:53:00+07:00,36,41,1,113.88577827547593,False,31.17,71,2.24,0,0,9,6,1,0
District_1,2025-09-21 01:53:00+07:00,13,26,1,203.2258064516129,False,30.53,72,3.09,0,1,9,6,1,0
Thu_Thiem,2025-09-21 01:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,1,9,6,1,0
Tan_Son_Nhat,2025-09-21 01:53:00+07:00,31,31,1,100.0,False,32.01,62,2.24,0,1,9,6,1,0
Binh_Thanh,2025-09-21 01:53:00+07:00,22,33,1,150.253807106599,False,31.16,71,2.24,0,1,9,6,1,0
Phu_My_Hung,2025-09-21 01:53:00+07:00,36,41,1,113.88577827547593,False,31.17,71,2.24,0,1,9,6,1,0
District_1,2025-09-21 02:53:00+07:00,14,25,1,175.75757575757575,False,30.53,72,3.09,0,2,9,6,1,0
Thu_Thiem,2025-09-21 02:53:00+07:00,40,40,1,100.0,False,31.16,71,2.24,0,2,9,6,1,0
